TF1	TF2
ASCL1	FOXA1
ASCL1	FOXA2
ASCL1	FOXS1
ASCL1	HELT
ASCL1	HES1
ASCL1	HEY2
ASCL1	JUN
ASCL1	KLF1
ASCL1	LMX1B
ASCL1	MEF2A
ASCL1	MEF2C
ASCL1	MEF2D
ASCL1	NEUROG2
ASCL1	OLIG1
ASCL1	POU3F2
ASCL1	POU3F3
ASCL1	SOX17
ASCL1	SOX4
ASCL1	TCF12
ASCL1	TCF3
ASCL1	TCF4
ASCL2	ASCL4
ASCL2	TCF3
ASCL3	TCF12
ASCL3	TCF3
ASCL3	TCF4
ASCL4	TCF12
ASCL4	TCF3
ASH1L	CDX1
ASH1L	CENPA
ASH1L	CXXC1
ASH1L	THAP7
ATF1	ATF2
ATF1	ATF4
ATF1	ATF5
ATF1	ATF6
ATF1	ATF6B
ATF1	BACH1
ATF1	CREB1
ATF1	CREB3
ATF1	CREB3L1
ATF1	CREB3L2
ATF1	CREB3L3
ATF1	CREB3L4
ATF1	CREB5
ATF1	CREM
ATF1	ESR1
ATF1	FEV
ATF1	FOS
ATF1	FOSL2
ATF1	FOXG1
ATF1	GABPA
ATF1	HNF1B
ATF1	JUN
ATF1	JUNB
ATF1	NFAT5
ATF1	NFATC1
ATF1	NFIL3
ATF1	NR2C2
ATF1	SPI1
ATF1	TCF12
ATF1	TFAP4
ATF2	ATF3
ATF2	ATF4
ATF2	ATF6B
ATF2	ATF7
ATF2	BACH1
ATF2	BACH2
ATF2	BATF
ATF2	BATF3
ATF2	CEBPA
ATF2	CEBPB
ATF2	CEBPG
ATF2	CEBPZ
ATF2	CREB1
ATF2	CREB3
ATF2	CREB3L1
ATF2	CREB3L2
ATF2	CREB3L3
ATF2	CREB3L4
ATF2	CREB5
ATF2	CREM
ATF2	DDIT3
ATF2	EGR1
ATF2	ESR1
ATF2	ETS1
ATF2	FOS
ATF2	FOSB
ATF2	FOSL1
ATF2	FOSL2
ATF2	FOXA1
ATF2	GATA3
ATF2	HMGA1
ATF2	IRF3
ATF2	IRF7
ATF2	JDP2
ATF2	JUN
ATF2	JUNB
ATF2	JUND
ATF2	LHX8
ATF2	MAF
ATF2	MEIS2
ATF2	NFATC1
ATF2	NFYA
ATF2	NFYB
ATF2	NFYC
ATF2	NKX2-1
ATF2	PHF20
ATF2	POU2F1
ATF2	SMAD3
ATF2	SMAD4
ATF2	TCF12
ATF2	THRB
ATF2	TP53
ATF2	YY1
ATF3	ATF4
ATF3	ATF6
ATF3	ATF7
ATF3	BATF
ATF3	BATF3
ATF3	CEBPA
ATF3	CEBPB
ATF3	CEBPE
ATF3	CEBPG
ATF3	CREB1
ATF3	DDIT3
ATF3	EGR1
ATF3	EGR3
ATF3	FOS
ATF3	FOSB
ATF3	FOSL1
ATF3	FOSL2
ATF3	JDP2
ATF3	JUN
ATF3	JUNB
ATF3	JUND
ATF3	MAFB
ATF3	MAFF
ATF3	MAFG
ATF3	MEF2A
ATF3	MYC
ATF3	NCOA3
ATF3	NFATC1
ATF3	NFE2L2
ATF3	NR1I2
ATF3	NR3C1
ATF3	PDX1
ATF3	RELA
ATF3	SMAD3
ATF3	SMAD4
ATF3	STAT1
ATF3	STAT3
ATF3	TEAD2
ATF3	TP53
ATF3	TP63
ATF3	TP73
ATF3	USF1
ATF3	XBP1
ATF3	ZNF212
ATF4	ATF6
ATF4	ATF6B
ATF4	BATF
ATF4	CEBPA
ATF4	CEBPB
ATF4	CEBPD
ATF4	CEBPE
ATF4	CEBPG
ATF4	CREB1
ATF4	CREB3
ATF4	CREB3L1
ATF4	CREB3L2
ATF4	CREB3L3
ATF4	CREB3L4
ATF4	CREB5
ATF4	CREBZF
ATF4	CREM
ATF4	DDIT3
ATF4	ETS2
ATF4	FOS
ATF4	FOSL1
ATF4	FOXG1
ATF4	FOXO1
ATF4	GTF2B
ATF4	JDP2
ATF4	JUN
ATF4	JUNB
ATF4	MAF
ATF4	MAFB
ATF4	NFE2
ATF4	NFE2L1
ATF4	NFE2L2
ATF4	NFE2L3
ATF4	POU5F1
ATF4	RUNX2
ATF4	SOX2
ATF4	STAT3
ATF4	TBP
ATF4	ZNF212
ATF4	ZNF226
ATF5	ATF6
ATF5	ATF6B
ATF5	BATF
ATF5	CEBPA
ATF5	CEBPE
ATF5	CEBPG
ATF5	JUN
ATF5	MAFB
ATF6	ATF6B
ATF6	BATF
ATF6	CEBPB
ATF6	CEBPD
ATF6	CREB3L3
ATF6	ESR1
ATF6	FOS
ATF6	GTF2I
ATF6	HIVEP2
ATF6	KLF5
ATF6	NFKB1
ATF6	NFYA
ATF6	NFYC
ATF6	POU5F1
ATF6	RUNX2
ATF6	SOX2
ATF6	SREBF2
ATF6	SRF
ATF6	TBPL1
ATF6	XBP1
ATF6	YY1
ATF6B	BATF
ATF6B	CREB1
ATF6B	CREB3
ATF6B	CREB3L1
ATF6B	CREB3L2
ATF6B	CREB3L3
ATF6B	CREB3L4
ATF6B	CREB5
ATF6B	CREBZF
ATF6B	LHX8
ATF6B	NFYA
ATF6B	NFYC
ATF6B	XBP1
ATF7	BACH1
ATF7	BACH2
ATF7	BATF3
ATF7	BCL6
ATF7	CEBPG
ATF7	CREB1
ATF7	CREB5
ATF7	DDIT3
ATF7	FOS
ATF7	FOSB
ATF7	FOSL1
ATF7	FOSL2
ATF7	JDP2
ATF7	JUN
ATF7	JUNB
ATF7	JUND
ATF7	MAFK
ATF7	MBD3
ATF7	MEF2A
ATF7	NFATC1
ATF7	NFATC2
ATF7	NFE2
ATF7	NFE2L1
ATF7	NKX2-1
ATF7	SETDB1
ATF7	YY1
ATOH1	DNMT1
ATOH1	MGA
ATOH1	SON
ATOH1	TCF12
ATOH1	TCF3
ATOH1	TCF4
ATOH7	MYC
ATOH7	TCF12
ATOH7	TCF3
ATOH7	TCF4
ATOH8	NEUROD1
ATOH8	TCF3
BACH1	BACH2
BACH1	BATF
BACH1	BATF3
BACH1	CREB1
BACH1	CREB5
BACH1	CREBZF
BACH1	DDIT3
BACH1	FOS
BACH1	HOXB8
BACH1	MAF
BACH1	MAFB
BACH1	MAFF
BACH1	MAFG
BACH1	MAFK
BACH1	MLX
BACH1	NANOG
BACH1	NFE2L2
BACH1	PATZ1
BACH1	POU5F1
BACH1	RBCK1
BACH1	SMAD3
BACH1	SOX2
BACH1	TCF4
BACH1	TP53
BACH1	ZNF131
BACH2	BATF
BACH2	BATF3
BACH2	BCL6
BACH2	CREB5
BACH2	ETS1
BACH2	FOS
BACH2	FOSL2
BACH2	FOXP3
BACH2	IRF4
BACH2	JUN
BACH2	KLF2
BACH2	LEF1
BACH2	MAF
BACH2	MAFB
BACH2	MAFF
BACH2	MAFG
BACH2	MAFK
BACH2	MYC
BACH2	NFE2L1
BACH2	NFE2L3
BACH2	PATZ1
BACH2	SOX7
BACH2	SP110
BACH2	ZBTB17
BACH2	ZBTB24
BACH2	ZBTB32
BACH2	ZBTB34
BACH2	ZBTB45
BACH2	ZBTB7C
BACH2	ZNF131
BARHL2	MBD2
BARX1	DLX4
BARX1	FOXA3
BARX1	FOXS1
BARX1	MSX1
BARX1	NKX3-2
BARX2	CREB1
BARX2	PPARD
BATF	BATF2
BATF	BATF3
BATF	BCL11A
BATF	BCL6
BATF	CEBPA
BATF	CEBPB
BATF	CEBPD
BATF	CEBPE
BATF	CEBPG
BATF	CREB3
BATF	DBP
BATF	DDIT3
BATF	DLX2
BATF	EGR2
BATF	EPAS1
BATF	FOS
BATF	HIF1A
BATF	HLF
BATF	IRF4
BATF	IRF8
BATF	JDP2
BATF	JUN
BATF	JUNB
BATF	JUND
BATF	MAF
BATF	MYC
BATF	NFE2L1
BATF	NFIL3
BATF	NFKB1
BATF	PRDM1
BATF	RORC
BATF	SNAPC5
BATF	SOX4
BATF	SPIB
BATF	STAT3
BATF	TET2
BATF2	BATF3
BATF2	CEBPA
BATF2	CEBPG
BATF2	DBP
BATF2	DDIT3
BATF2	EPAS1
BATF2	HLF
BATF2	IRF1
BATF2	JUN
BATF2	JUNB
BATF2	JUND
BATF2	MAFF
BATF3	CEBPB
BATF3	CEBPD
BATF3	CEBPG
BATF3	CREB3
BATF3	CREB5
BATF3	DBP
BATF3	DDIT3
BATF3	EPAS1
BATF3	FOSL1
BATF3	HLF
BATF3	JUN
BATF3	JUNB
BATF3	JUND
BATF3	MAFF
BATF3	MAFG
BATF3	PGR
BATF3	STAT3
BATF3	USF1
BATF3	ZBTB10
BATF3	ZNF451
BAZ2A	CENPA
BAZ2A	DNMT1
BAZ2A	L3MBTL1
BAZ2A	LCOR
BAZ2A	MYC
BAZ2A	NKX2-1
BAZ2A	NR2C2
BAZ2A	TTF1
BAZ2A	YY1
BAZ2A	ZBTB2
BAZ2A	ZNF215
BAZ2B	SOX2
BBX	FOXJ2
BBX	FOXK1
BBX	KLF16
BBX	KLF9
BBX	MECP2
BBX	MYCN
BBX	ZNF512
BBX	ZSCAN31
BCL11A	BCL11B
BCL11A	BCL6
BCL11A	BCL6B
BCL11A	BPTF
BCL11A	DNMT1
BCL11A	DPF1
BCL11A	DPF3
BCL11A	EBF1
BCL11A	FEV
BCL11A	GATA1
BCL11A	GATA2
BCL11A	GATAD2A
BCL11A	GATAD2B
BCL11A	IKZF1
BCL11A	IRF4
BCL11A	JUN
BCL11A	KLF1
BCL11A	MBD2
BCL11A	MBD3
BCL11A	MEF2A
BCL11A	MEF2C
BCL11A	MTF2
BCL11A	MYBL2
BCL11A	NFYB
BCL11A	NR2C2
BCL11A	NR2E1
BCL11A	NR2E3
BCL11A	NR2F1
BCL11A	NR2F2
BCL11A	PAX5
BCL11A	PAX9
BCL11A	PHF1
BCL11A	POU2F2
BCL11A	RUNX1
BCL11A	RUNX3
BCL11A	SALL4
BCL11A	SOX2
BCL11A	SOX6
BCL11A	SP100
BCL11A	TAL1
BCL11A	ZBTB2
BCL11A	ZFPM1
BCL11A	ZNF219
BCL11A	ZNF296
BCL11A	ZNF512B
BCL11B	BCL6
BCL11B	BCL6B
BCL11B	BPTF
BCL11B	DPF3
BCL11B	GATAD2A
BCL11B	GATAD2B
BCL11B	HIC1
BCL11B	HMGA1
BCL11B	MBD2
BCL11B	MBD3
BCL11B	MYBL2
BCL11B	NFATC1
BCL11B	NFATC2
BCL11B	NR2F1
BCL11B	NR2F2
BCL11B	RBPJ
BCL11B	SOX7
BCL11B	SP1
BCL11B	SP100
BCL11B	SPI1
BCL11B	TAL1
BCL11B	TCF7
BCL11B	ZNF219
BCL11B	ZNF296
BCL6	BCL6B
BCL6	CEBPD
BCL6	E2F3
BCL6	EBF1
BCL6	ELF1
BCL6	ESR1
BCL6	FOXM1
BCL6	GATA1
BCL6	GFI1
BCL6	HNF1A
BCL6	HSF4
BCL6	IKZF1
BCL6	IRF4
BCL6	IRF7
BCL6	JUN
BCL6	JUNB
BCL6	JUND
BCL6	KDM2A
BCL6	KDM2B
BCL6	KLF4
BCL6	KMT2B
BCL6	LEF1
BCL6	MBD3
BCL6	MXD1
BCL6	NKRF
BCL6	NR2F6
BCL6	NR4A1
BCL6	PATZ1
BCL6	PIN1
BCL6	POU2F3
BCL6	PPARD
BCL6	PRDM1
BCL6	RARA
BCL6	SOX18
BCL6	SPDEF
BCL6	SPEN
BCL6	SPI1
BCL6	STAT1
BCL6	STAT3
BCL6	STAT6
BCL6	TBX21
BCL6	TCF7L2
BCL6	TGIF1
BCL6	TP53
BCL6	TWIST1
BCL6	VAX1
BCL6	YY1
BCL6	ZBTB16
BCL6	ZBTB17
