TF1	TF2
HOXA1	PBX3
HOXA1	PBX4
HOXA1	PKNOX1
HOXA1	PLSCR1
HOXA1	RARA
HOXA1	RBCK1
HOXA1	ZNF503
HOXA1	ZNF703
HOXA10	HOXA13
HOXA10	NFATC1
HOXA10	PBX1
HOXA10	PBX2
HOXA10	PBX4
HOXA10	RBPJ
HOXA10	SP7
HOXA10	SPI1
HOXA10	TEAD2
HOXA11	KLF15
HOXA11	NFE2L3
HOXA11	NR1H3
HOXA11	PAX2
HOXA11	PBX1
HOXA11	POU3F1
HOXA11	POU3F2
HOXA11	RXRG
HOXA11	TAL1
HOXA11	YY1
HOXA11	ZIC2
HOXA13	MYCN
HOXA13	PAX3
HOXA13	SMAD5
HOXA2	NKX3-2
HOXA2	PBX1
HOXA2	RUNX1
HOXA2	SOX6
HOXA2	ZNF518A
HOXA2	ZNF518B
HOXA3	HOXD10
HOXA3	HOXD9
HOXA3	TERF1
HOXA4	HOXD10
HOXA4	HOXD9
HOXA4	SNAPC4
HOXA5	HOXA6
HOXA5	HOXA7
HOXA5	HOXB4
HOXA5	HOXB5
HOXA5	HOXB6
HOXA5	HOXB7
HOXA5	HOXC4
HOXA5	HOXC5
HOXA5	HOXC6
HOXA5	HOXD10
HOXA5	HOXD4
HOXA5	HOXD9
HOXA5	KLF8
HOXA5	KMT2A
HOXA5	PBX1
HOXA5	PBX2
HOXA5	PBX3
HOXA5	PBX4
HOXA5	SMAD1
HOXA5	SOX17
HOXA5	SOX2
HOXA5	STAT3
HOXA5	TWIST1
HOXA5	ZNF354C
HOXA5	ZNF408
HOXA6	HOXA7
HOXA6	HOXB4
HOXA6	HOXB5
HOXA6	HOXB6
HOXA6	HOXB7
HOXA6	HOXC4
HOXA6	HOXC5
HOXA6	HOXC6
HOXA6	HOXD10
HOXA6	HOXD4
HOXA6	HOXD8
HOXA6	HOXD9
HOXA7	HOXA9
HOXA7	HOXB4
HOXA7	HOXB5
HOXA7	HOXB6
HOXA7	HOXB7
HOXA7	HOXC4
HOXA7	HOXC5
HOXA7	HOXC6
HOXA7	HOXD4
HOXA7	KMT2A
HOXA7	MEIS1
HOXA7	PBX1
HOXA9	HOXB9
HOXA9	HOXD10
HOXA9	HOXD8
HOXA9	HOXD9
HOXA9	KMT2A
HOXA9	MEIS1
HOXA9	NFAT5
HOXA9	OTX2
HOXA9	PAX5
HOXA9	PBX1
HOXA9	PBX2
HOXA9	PBX3
HOXA9	POU4F2
HOXA9	SMAD4
HOXA9	STAT5A
HOXA9	STAT5B
HOXB1	HOXD1
HOXB1	MEIS1
HOXB1	NR3C1
HOXB1	PAX6
HOXB1	PBX1
HOXB1	PBX2
HOXB1	PBX3
HOXB1	PBX4
HOXB1	PKNOX1
HOXB1	ZNF835
HOXB13	KLF4
HOXB13	MEIS1
HOXB13	MEIS2
HOXB13	TEAD2
HOXB13	TEAD4
HOXB13	ZNF263
HOXB2	NCOA1
HOXB2	NHLH1
HOXB2	PBX4
HOXB2	PRDM16
HOXB2	SATB2
HOXB2	ZEB2
HOXB2	ZNF518A
HOXB2	ZNF518B
HOXB3	NKX2-2
HOXB3	PDX1
HOXB3	POU1F1
HOXB4	HOXB5
HOXB4	HOXB6
HOXB4	HOXB7
HOXB4	HOXC4
HOXB4	HOXC5
HOXB4	HOXC6
HOXB4	HOXC9
HOXB4	HOXD4
HOXB4	HOXD8
HOXB4	HOXD9
HOXB5	HOXB6
HOXB5	HOXB7
HOXB5	HOXC4
HOXB5	HOXC5
HOXB5	HOXC6
HOXB5	HOXC9
HOXB5	HOXD4
HOXB5	HOXD8
HOXB5	HOXD9
HOXB5	NKX2-1
HOXB5	PBX1
HOXB5	PBX2
HOXB5	PBX3
HOXB5	PBX4
HOXB6	HOXB7
HOXB6	HOXC4
HOXB6	HOXC5
HOXB6	HOXC6
HOXB6	HOXD4
HOXB6	MEIS1
HOXB6	MEIS2
HOXB6	PBX1
HOXB6	PBX2
HOXB6	PBX3
HOXB6	PBX4
HOXB6	PLSCR1
HOXB6	TCF21
HOXB7	HOXC4
HOXB7	HOXC5
HOXB7	HOXC6
HOXB7	HOXC9
HOXB7	HOXD10
HOXB7	HOXD4
HOXB7	HOXD9
HOXB7	MEIS2
HOXB7	MYC
HOXB7	NR5A1
HOXB7	NR5A2
HOXB7	PBX1
HOXB7	PBX2
HOXB7	PBX3
HOXB7	PBX4
HOXB7	RXRB
HOXB7	TP53
HOXB8	IRX2
HOXB8	MYC
HOXB8	PBX1
HOXB8	PBX2
HOXB8	PBX3
HOXB8	PBX4
HOXB9	JUN
HOXB9	PBX1
HOXB9	PBX2
HOXB9	PBX3
HOXB9	PBX4
HOXB9	RBPJ
HOXB9	SOX15
HOXB9	SPZ1
HOXB9	TEAD2
HOXB9	TET2
HOXB9	ZNF408
HOXC11	PAX2
HOXC11	SOX8
HOXC11	SP1
HOXC11	TBX21
HOXC11	TLX3
HOXC12	HOXC5
HOXC13	JUN
HOXC13	NFATC1
HOXC13	RBPJ
HOXC13	TEAD2
HOXC4	HOXC5
HOXC4	HOXC6
HOXC4	HOXD4
HOXC4	MYCN
HOXC4	PBX1
HOXC4	PBX2
HOXC4	PBX3
HOXC4	PBX4
HOXC4	POU2F1
HOXC4	PRRX1
HOXC5	HOXC6
HOXC5	HOXD4
HOXC5	PBX1
HOXC5	PBX2
HOXC5	PBX4
HOXC6	HOXD4
HOXC6	MYCN
HOXC8	MSX1
HOXC8	MYCN
HOXC8	NFKB1
HOXC8	PBX1
HOXC8	PBX2
HOXC8	PBX3
HOXC8	PBX4
HOXC8	SKIL
HOXC8	SMAD1
HOXC8	SMAD4
HOXC9	HOXD1
HOXC9	HOXD9
HOXC9	PAX8
HOXC9	PBX1
HOXC9	PBX2
HOXC9	PBX3
HOXC9	PBX4
HOXC9	PCGF2
HOXC9	TLX3
HOXC9	ZNF384
HOXD1	PBX1
HOXD1	PBX2
HOXD1	PBX3
HOXD1	PBX4
HOXD10	HOXD13
HOXD10	HOXD3
HOXD10	MEIS1
HOXD10	TBX1
HOXD11	HOXD13
HOXD11	PAX9
HOXD12	MAF
HOXD12	MAFB
HOXD12	MAFF
HOXD12	MAFG
HOXD12	MAFK
HOXD12	TP53
HOXD13	HOXD4
HOXD13	JUN
HOXD13	L3MBTL1
HOXD13	NFATC1
HOXD13	NPAS3
HOXD13	PITX2
HOXD13	POU6F2
HOXD13	RBPJ
HOXD13	SIX2
HOXD13	SIX3
HOXD13	SMAD5
HOXD13	SOX7
HOXD13	TEAD2
HOXD3	HOXD9
HOXD3	PBX1
HOXD3	PBX2
HOXD3	PBX3
HOXD3	PBX4
HOXD4	PBX1
HOXD4	PBX4
HOXD4	RXRG
HOXD4	SNAI1
HOXD4	TIGD4
HOXD4	ZSCAN18
HOXD8	PBX1
HOXD8	PBX2
HOXD8	PBX3
HOXD8	PBX4
HOXD9	MEIS1
HOXD9	PBX1
HSF1	HSF2
HSF1	HSF4
HSF1	MAX
HSF1	MYC
HSF1	NME2
HSF1	PCGF2
HSF1	STAT1
HSF1	TBP
HSF1	TBPL2
HSF1	TP53
HSF2	HSF4
HSF2	PCGF2
HSF2	TBP
HSF2	TBPL2
HSF4	SOX10
HSF4	TBP
HSF4	TBPL2
HSFY1	SATB2
HSFY1	SOX15
HSFY1	TBX6
IKZF1	IKZF2
IKZF1	IKZF3
IKZF1	IKZF4
IKZF1	IKZF5
IKZF1	IRF1
IKZF1	MBD2
IKZF1	MBD3
IKZF1	MYC
IKZF1	NFATC1
IKZF1	NFATC2
IKZF1	NR2C2
IKZF1	RAG1
IKZF1	RUNX1
IKZF1	RUNX3
IKZF1	SPI1
IKZF1	TBP
IKZF1	TCF7
IKZF1	ZBTB16
IKZF1	ZFPM1
IKZF1	ZNF587
IKZF2	IKZF3
IKZF2	IKZF5
IKZF2	NFATC1
IKZF2	NFATC2
IKZF2	RELA
IKZF2	ZNF587
IKZF3	IKZF4
IKZF3	IKZF5
IKZF3	MBD2
IKZF3	MBD3
IKZF3	PRDM1
IKZF3	REL
IKZF3	RUNX1
IKZF3	RUNX3
IKZF3	YY1
IKZF3	ZBTB14
IKZF3	ZNF417
IKZF3	ZNF587
IKZF4	IKZF5
IKZF4	RUNX1
IKZF4	ZNF225
IKZF4	ZNF74
IKZF5	LHX3
IKZF5	LIN54
IKZF5	TCF7L2
IKZF5	THAP11
IKZF5	TIGD5
IKZF5	WIZ
IKZF5	ZNF518B
IKZF5	ZZZ3
INSM1	MEIS1
INSM1	MYCN
INSM1	NEUROD1
INSM1	NEUROG1
INSM1	NEUROG3
INSM1	ZBTB7B
INSM1	ZIC1
INSM2	ZSCAN1
IRF1	IRF2
IRF1	IRF3
IRF1	IRF8
IRF1	IRF9
IRF1	JUN
IRF1	NFKB2
IRF1	NKX2-1
IRF1	NR5A1
IRF1	PRDM1
IRF1	REL
IRF1	RUNX1
IRF1	SIX5
IRF1	SP2
IRF1	SPI1
IRF1	STAT1
IRF1	STAT2
IRF1	STAT3
IRF1	STAT4
IRF1	STAT6
IRF1	USF1
IRF1	YBX1
IRF2	IRF4
IRF2	IRF7
IRF2	IRF8
IRF2	JUND
IRF2	KLF13
IRF2	KMT2A
IRF2	MEF2D
IRF2	NFKB1
IRF2	PRDM1
IRF2	RELA
IRF2	SP140
IRF2	SPI1
IRF2	STAT2
IRF2	USF1
IRF3	IRF5
IRF3	IRF7
IRF3	JUN
IRF3	KLF6
IRF3	MAFB
IRF3	NCOA2
IRF3	NFKB2
IRF3	PIN1
IRF3	PKNOX1
IRF3	PPARG
IRF3	RELA
IRF3	SALL2
IRF3	SIX5
IRF3	SMAD3
IRF3	SMAD4
IRF3	STAT2
IRF3	TEAD4
IRF4	IRF5
IRF4	IRF7
IRF4	IRF8
IRF4	JUN
IRF4	JUNB
IRF4	JUND
IRF4	KLF4
IRF4	MYC
IRF4	NFATC2
IRF4	PAX5
IRF4	PPARA
IRF4	PROX1
IRF4	RORC
IRF4	RUNX1
IRF4	RUNX3
IRF4	SPI1
IRF4	SPIB
IRF4	STAT3
IRF4	STAT6
IRF4	TCF3
IRF4	TET2
IRF5	IRF6
IRF5	IRF8
IRF5	POU2F3
IRF5	RELA
IRF5	STAT1
IRF5	ZBTB26
IRF5	ZNF740
IRF6	IRF8
IRF6	MAFB
IRF6	PAX9
IRF6	PBX1
IRF6	PBX2
IRF6	RFX3
IRF6	TLX2
IRF7	IRF9
IRF7	JUN
IRF7	MAF
IRF7	MAFB
IRF7	NFKB1
IRF7	NR2F6
IRF7	NR4A1
IRF7	RELA
IRF7	SMAD3
IRF7	SMAD4
IRF7	SP100
IRF7	SPIB
IRF7	STAT1
IRF7	STAT2
IRF7	TP53
IRF8	KLF4
IRF8	MAFB
IRF8	NFATC1
IRF8	NFIL3
IRF8	NFKB1
IRF8	RELA
IRF8	SPI1
IRF8	SPIB
IRF8	SREBF2
IRF8	STAT1
IRF8	STAT2
IRF8	TBX21
IRF8	ZBTB17
IRF9	NCOA2
IRF9	NFKB1
IRF9	PPARA
IRF9	RELA
IRF9	STAT1
IRF9	STAT2
IRF9	STAT3
IRF9	STAT4
IRF9	STAT5A
IRF9	STAT5B
IRF9	STAT6
IRF9	VENTX
IRX1	IRX3
IRX1	IRX6
IRX1	SRF
IRX2	SRF
IRX3	IRX5
IRX3	NKX2-2
IRX3	OLIG2
IRX3	SIX3
IRX3	SRF
IRX4	RARA
IRX4	SRF
IRX5	IRX6
IRX5	SRF
IRX6	NKX2-2
IRX6	OLIG2
IRX6	SIX3
IRX6	SRF
ISL1	ISL2
ISL1	LHX3
ISL1	LHX4
ISL1	LHX8
ISL1	LMX1A
ISL1	MAFA
ISL1	MAFB
ISL1	MYCN
ISL1	NFATC1
ISL1	NR2F1
ISL1	PHOX2B
ISL1	POU4F2
ISL1	SOX2
ISL1	STAT3
ISL1	TBX2
ISL1	VSX1
ISL1	VSX2
ISL1	ZNF503
ISL1	ZNF511
ISL2	LHX1
ISL2	LHX3
ISL2	LHX4
ISL2	LMX1B
ISL2	VSX1
ISL2	VSX2
JAZF1	MYCL
JAZF1	NR2C1
JAZF1	NR2C2
JAZF1	PPARG
JAZF1	RXRA
JAZF1	SKIL
JDP2	JUN
JDP2	JUNB
JDP2	JUND
JDP2	MAF
JDP2	NFE2L2
JDP2	NKX2-1
JDP2	NR2E1
JDP2	PGR
JDP2	TP53
JDP2	YBX1
JRK	TCF7L2
JRK	ZBTB8A
JRK	ZNF629
JRKL	TIGD2
JUN	JUNB
JUN	JUND
JUN	KAT7
JUN	KDM2B
JUN	KLF5
JUN	KLF6
JUN	MAF
JUN	MAFB
JUN	MAFF
JUN	MAFG
JUN	MAFK
JUN	MAZ
JUN	MBD3
JUN	MECOM
JUN	MEF2A
JUN	MEF2D
JUN	MITF
JUN	MYC
JUN	MYOD1
JUN	MYOG
JUN	MYPOP
JUN	MZF1
JUN	NCOA1
JUN	NCOA2
JUN	NCOA3
JUN	NFAT5
JUN	NFATC1
JUN	NFATC2
JUN	NFATC3
JUN	NFATC4
JUN	NFE2L1
JUN	NFE2L2
JUN	NFE2L3
JUN	NFIX
JUN	NFKB1
JUN	NFYA
JUN	NFYC
JUN	NKRF
JUN	NKX2-5
JUN	NR2F6
JUN	NR3C1
JUN	NR4A1
JUN	NR5A1
JUN	PGR
JUN	PHOX2A
JUN	PIN1
JUN	POU1F1
JUN	POU2F1
JUN	PPARA
JUN	PPARD
JUN	PPARG
JUN	RARA
JUN	RARB
JUN	RELA
JUN	RUNX1
JUN	RUNX2
JUN	RUNX3
JUN	SATB1
JUN	SATB2
JUN	SIX4
JUN	SKI
JUN	SMAD3
JUN	SMAD4
JUN	SNAI1
JUN	SOX17
JUN	SOX2
JUN	SOX4
JUN	SOX9
JUN	SP1
JUN	SPI1
JUN	SPIB
JUN	STAT1
JUN	STAT3
JUN	STAT4
JUN	STAT6
JUN	TBP
JUN	TCF20
JUN	TCF7L2
JUN	TEAD1
JUN	TEAD3
JUN	TERF1
JUN	TERF2
JUN	TFAP2A
JUN	TFAP2C
JUN	TGIF1
JUN	TP53
JUN	TP73
JUN	TRPS1
JUN	ZBTB7C
JUN	ZIC1
JUN	ZNF263
JUN	ZNF382
JUNB	JUND
JUNB	MAF
JUNB	MAFB
JUNB	MAFG
JUNB	MECOM
JUNB	MYC
JUNB	MYCN
JUNB	NFAT5
JUNB	NFATC1
JUNB	NFATC2
JUNB	NKX2-1
JUNB	SMAD3
JUNB	SMAD4
JUNB	YY1
JUND	MAF
JUND	MAZ
JUND	MEF2A
JUND	NFAT5
JUND	NFATC1
JUND	NFATC2
JUND	NFE2L2
JUND	NFE2L3
JUND	PPARG
JUND	REL
JUND	RELA
JUND	SMAD3
JUND	SOX2
JUND	SOX4
JUND	SP1
JUND	STAT3
JUND	TEAD1
JUND	YY1
KAT7	MYC
KAT7	PGR
KAT7	POU5F1
KAT7	SIX1
KAT7	SP110
KAT7	TBP
KAT7	TP53
KAT7	ZBTB2
KAT7	ZBTB8A
KAT7	ZNF165
KCMF1	NR2C2
KCMF1	POU5F1
KCMF1	SOX2
KCMF1	TFDP3
KCMF1	ZNF668
KDM2A	KLF15
KDM2A	RBPJ
KDM2A	RELA
KDM2B	MGA
KDM2B	NANOG
KDM2B	NR3C1
KDM2B	PCGF2
KDM2B	PCGF6
KDM2B	POU5F1
KDM2B	RFX1
KDM2B	SALL4
KDM2B	SOX2
KDM2B	SOX7
KDM5B	KLF10
KDM5B	MAF
KDM5B	MBD2
KDM5B	MBD3
KDM5B	MEOX2
KDM5B	MYC
KDM5B	MYCN
KDM5B	NFKB1
KDM5B	NR4A3
KDM5B	ONECUT2
KDM5B	PAX9
KDM5B	PRDM13
KDM5B	SHOX2
KDM5B	SNAPC4
KDM5B	SPDEF
KDM5B	TFAP2C
KDM5B	ZNF217
KLF1	NR2C2
KLF1	SOX11
KLF1	SOX6
KLF1	STAT1
KLF1	STAT3
KLF1	TAL1
KLF1	TCF3
KLF1	TET2
KLF1	ZFPM1
KLF10	NFYA
KLF10	SP1
KLF10	TFAP2A
KLF10	TP53
KLF11	NFYC
KLF11	SNAI2
KLF11	ZNF19
KLF11	ZNF292
KLF12	KLF8
KLF12	PRDM2
KLF13	MEF2D
KLF13	SREBF1
KLF13	SREBF2
KLF15	MAZ
KLF15	MEF2A
KLF15	NCOA1
KLF15	NCOA2
KLF15	NR1H4
KLF15	NR2C2
KLF15	POU3F2
KLF15	PPARA
KLF15	RXRG
KLF15	SKI
KLF15	SP2
KLF15	STAT3
KLF15	TAL1
KLF15	TCF7L2
KLF15	VEZF1
KLF15	ZBTB24
KLF15	ZIC2
KLF15	ZNF148
KLF15	ZNF284
KLF15	ZNF292
KLF15	ZNF319
KLF15	ZNF516
KLF15	ZNF518B
KLF16	NFIA
KLF16	NFIB
KLF16	NFIC
KLF16	ZBTB33
KLF16	ZBTB38
KLF16	ZFP91
KLF16	ZKSCAN3
KLF16	ZNF107
KLF16	ZNF146
KLF16	ZNF274
KLF16	ZNF507
KLF16	ZNF724
KLF16	ZNF770
KLF17	TP53
KLF2	KLF4
KLF2	MYC
KLF2	NANOG
KLF2	NFKB1
KLF2	POU5F1
KLF2	PROX1
KLF2	RELA
KLF2	SOX2
KLF2	ZBTB32
KLF3	LHX6
KLF3	LHX8
KLF3	NFIA
KLF3	NFIB
KLF3	NFIC
KLF3	PRDM2
KLF3	SOX6
KLF3	SPI1
KLF3	SRF
KLF4	KLF6
KLF4	MBD3
KLF4	MEIS3
KLF4	NANOG
KLF4	NFIC
KLF4	NR3C1
KLF4	NR5A2
KLF4	PAX9
KLF4	PBX1
KLF4	PBX2
KLF4	POU3F4
KLF4	POU5F1
KLF4	PPARG
KLF4	RELA
KLF4	SATB1
KLF4	SMAD4
KLF4	SNAI2
KLF4	SOX2
KLF4	SP1
KLF4	SPDEF
KLF4	SPI1
KLF4	SRF
KLF4	STAT6
KLF4	TBX3
KLF4	TET2
KLF4	TP53
KLF4	ZNF296
KLF4	ZNF750
KLF5	MECOM
KLF5	NFKB1
KLF5	NKRF
KLF5	PPARD
KLF5	PPARG
KLF5	RARA
KLF5	RXRA
KLF5	SALL4
KLF5	SMAD3
KLF5	SMAD4
KLF5	SREBF1
KLF5	TBP
KLF5	TBPL1
KLF5	TP53
KLF5	ZBTB17
KLF6	KLF9
KLF6	LCOR
KLF6	PAX6
KLF6	RELA
KLF6	RUNX1
KLF6	SMAD3
KLF6	SP1
KLF6	STAT2
KLF6	TP53
KLF8	MNT
KLF8	NFIA
KLF8	NFIB
KLF8	NFIC
KLF8	PRDM2
KLF8	SP1
KLF8	ZKSCAN1
KLF8	ZNF485
KLF8	ZNF516
KLF8	ZNF611
KLF8	ZNF721
KLF9	MNT
KLF9	PGR
KLF9	SP1
KLF9	TP53
KMT2A	KMT2B
KMT2A	MAX
KMT2A	MEIS1
KMT2A	MGA
KMT2A	MSX2
KMT2A	MYB
KMT2A	MYC
KMT2A	MYCN
KMT2A	NR2C2
KMT2A	PAX5
KMT2A	PAX7
KMT2A	PHF20
KMT2A	PRDM16
KMT2A	RUNX1
KMT2A	SOX2
KMT2A	SP1
KMT2A	TET1
KMT2A	TP53
KMT2A	TWIST1
KMT2A	ZFPM1
KMT2A	ZNF131
KMT2A	ZNF608
KMT2A	ZZZ3
KMT2B	MAX
KMT2B	MGA
KMT2B	PAX7
KMT2B	PHF20
KMT2B	PRDM16
KMT2B	RUNX1
KMT2B	ZFPM1
KMT2B	ZNF131
KMT2B	ZNF608
KMT2B	ZZZ3
L3MBTL1	L3MBTL4
L3MBTL1	MECOM
L3MBTL1	MGA
L3MBTL1	MYC
L3MBTL1	PCGF6
L3MBTL1	RBPJ
L3MBTL1	RBPJL
L3MBTL1	SALL2
L3MBTL1	SATB2
L3MBTL1	TP53
L3MBTL1	TP73
L3MBTL1	WIZ
L3MBTL1	YY1
L3MBTL1	ZBTB34
L3MBTL1	ZKSCAN1
L3MBTL1	ZNF146
L3MBTL1	ZNF195
L3MBTL1	ZNF281
L3MBTL1	ZNF324
L3MBTL1	ZNF644
L3MBTL3	L3MBTL4
L3MBTL3	RBPJ
L3MBTL3	RBPJL
L3MBTL3	SOX2
L3MBTL3	THRA
L3MBTL4	RBPJ
L3MBTL4	RBPJL
LBX1	SKOR1
LCOR	MTF2
LCOR	PGR
LCOR	PHF1
LCOR	PPARG
LCOR	RBPJ
LCOR	RORB
LCOR	TFEB
LCOR	WIZ
LCOR	ZNF516
LEF1	LHX6
LEF1	LHX8
LEF1	MITF
LEF1	MLX
LEF1	MSX1
LEF1	MYB
LEF1	NANOG
LEF1	NFATC1
LEF1	NFATC2
LEF1	PITX2
LEF1	RUNX1
LEF1	RUNX2
LEF1	RUNX3
LEF1	SMAD1
LEF1	SMAD3
LEF1	SMAD4
LEF1	SNAI1
LEF1	SNAI2
LEF1	SOX13
LEF1	SOX17
LEF1	SOX4
LEF1	STAT5A
LEF1	TBPL2
LEF1	TBX3
LEF1	TBX6
LEF1	TCF4
LEF1	TCF7
LEF1	TCF7L1
LEF1	TCF7L2
LEF1	TEAD1
LEF1	TEAD2
LEF1	TEAD3
LEF1	TEAD4
LEF1	TFE3
LEF1	TWIST1
LEF1	VENTX
LEF1	ZBTB3
LEUTX	ZNF646
LHX1	LHX3
LHX1	OTX2
LHX1	ZNF146
LHX1	ZNF724
LHX2	LHX9
LHX2	MSX1
LHX2	NFIA
LHX2	NFIB
LHX2	NFIC
LHX2	PAX6
LHX2	SOX3
LHX2	VSX2
LHX2	ZNF724
LHX3	LHX4
LHX3	LMX1A
LHX3	NFIA
LHX3	NFIB
LHX3	NFIC
LHX3	STAT3
LHX4	NFIA
LHX4	NFIB
LHX4	NFIC
LHX4	NFIX
LHX4	NRF1
LHX4	SMAD4
LHX4	TCF4
LHX4	THAP12
LHX4	ZNF574
LHX6	LHX8
LHX6	LMX1B
LHX6	MSX1
LHX6	SALL2
LHX6	SATB2
LHX6	SNAI1
LHX6	VSX2
LHX6	ZNF507
LHX8	MBD2
LHX8	MSX1
LHX8	SNAI1
LHX8	VSX2
LHX9	NHLH1
LHX9	SOX2
LHX9	TBR1
LHX9	VSX2
LHX9	ZHX1
LIN28A	LIN28B
LIN28A	POU5F1
LIN28A	PRDM14
LIN28A	SOX2
LIN28A	TET1
LIN28A	YBX1
LIN28A	ZNF275
LIN28A	ZNF346
LIN28A	ZNF672
LIN28B	MYC
LIN28B	MYCN
LIN28B	NFKB1
LIN28B	PURA
LIN28B	REXO4
LIN28B	YBX1
LIN28B	YBX2
LIN28B	YBX3
LIN28B	ZBTB2
LIN28B	ZC3H8
LIN28B	ZNF143
LIN28B	ZNF574
LIN54	MAX
LIN54	MXD1
LIN54	MYBL1
LIN54	MYBL2
LIN54	MYC
LIN54	NR2C2
LIN54	SOX2
LIN54	SP3
LIN54	TBX15
LIN54	TBX18
LIN54	TFDP1
LIN54	TFDP2
LMX1A	LMX1B
LMX1A	LYL1
LMX1A	PAX2
LMX1A	PAX5
LMX1A	PAX8
LMX1A	TAL1
LMX1A	TCF3
LMX1B	MEIS1
LMX1B	MEIS2
LMX1B	PAX2
LMX1B	PAX5
LMX1B	PAX8
LMX1B	PBX1
LMX1B	PBX2
LMX1B	PBX3
LMX1B	PKNOX2
LMX1B	RBSN
LMX1B	TCF21
LTF	TET2
LTF	TP53
LTF	ZNF250
LTF	ZNF598
LYL1	NFKB1
LYL1	RUNX1
LYL1	TAL1
LYL1	TAL2
LYL1	TCF12
LYL1	TCF3
LYL1	TCF4
MAF	MAFB
MAF	MAFG
MAF	MYB
MAF	NFE2
MAF	NFE2L1
MAF	NFE2L2
MAF	NFE2L3
MAF	NFKB1
MAF	NKRF
MAF	NR2F6
MAF	PAX6
MAF	RUNX2
MAF	SOX4
MAF	SOX5
MAF	SOX6
MAF	SOX9
MAF	TP53
MAF	USF2
MAFA	NEUROD1
MAFA	PAX6
MAFA	PDX1
MAFB	MAFG
MAFB	MAFK
MAFB	NFE2
MAFB	NFE2L1
MAFB	NFE2L2
MAFB	NFX1
MAFB	NKX6-1
MAFB	PAX6
MAFB	PRDM1
MAFB	SP100
MAFB	SPI1
MAFB	STAT3
MAFB	ZFP64
MAFF	MAFG
MAFF	MAFK
MAFF	MYC
MAFF	NFE2
MAFF	NFE2L1
MAFF	NFE2L2
MAFF	NFE2L3
MAFF	NFIL3
MAFF	NKX2-1
MAFF	NRF1
MAFG	MAFK
MAFG	NFE2
MAFG	NFE2L1
MAFG	NFE2L2
MAFG	NFE2L3
MAFG	NFIL3
MAFG	ZBTB24
MAFG	ZBTB34
MAFK	MYC
MAFK	NFE2
MAFK	NFE2L1
MAFK	NFE2L2
MAFK	NFE2L3
MAFK	RELA
MAFK	SMAD3
MAFK	TP53
MAFK	ZBTB24
MAFK	ZNF148
MAX	MECP2
MAX	MGA
MAX	MNT
MAX	MTERF1
MAX	MXD1
MAX	MXD3
MAX	MXD4
MAX	MXI1
MAX	MYC
MAX	MYCL
MAX	MYCN
MAX	PCGF6
MAX	PHF20
MAX	POU5F1
MAX	PRDM14
MAX	SMAD3
MAX	SMAD4
MAX	TBP
MAX	TBX15
MAX	TBX18
MAX	TEAD1
MAX	TFAP2A
MAX	TFDP1
MAX	TFDP2
MAX	TWIST1
MAX	USF1
MAX	WIZ
MAX	YY1
MAX	ZBTB17
MAZ	MYC
MAZ	MYCN
MAZ	RFX1
MAZ	TCF7L2
MAZ	TEAD1
MAZ	YY1
MBD1	MECP2
MBD1	MYC
MBD1	RARA
MBD1	RBPJ
MBD1	SETDB1
MBD1	SP1
MBD1	STAT1
MBD1	ZNF512B
MBD2	MBD3
MBD2	MLXIPL
MBD2	MTF2
MBD2	MYBL2
MBD2	PHF1
MBD2	PURB
MBD2	RBPJ
MBD2	RFX3
MBD2	RREB1
MBD2	SALL1
MBD2	SALL4
MBD2	SOX2
MBD2	SOX6
MBD2	TBP
MBD2	TFAP4
MBD2	TRPS1
MBD2	ZBTB2
MBD2	ZNF219
MBD2	ZNF296
MBD2	ZNF512B
MBD3	MECOM
MBD3	MTF2
MBD3	MYBL2
MBD3	MYC
MBD3	NANOG
MBD3	NR2C1
MBD3	PHF1
MBD3	PHF21A
MBD3	POU5F1
MBD3	RARA
MBD3	REST
MBD3	SALL1
MBD3	SALL4
MBD3	SOX2
MBD3	TET1
MBD3	TET2
MBD3	TRPS1
MBD3	TTF1
MBD3	ZBED1
MBD3	ZBTB16
MBD3	ZBTB2
MBD3	ZBTB46
MBD3	ZBTB7A
MBD3	ZBTB7C
MBD3	ZEB2
MBD3	ZGPAT
MBD3	ZNF219
MBD3	ZNF277
MBD3	ZNF512B
MBD3	ZNF532
MBD3	ZNF592
MBD3	ZNF687
MBD3	ZNF800
MBD4	ZBTB33
MBD4	ZFHX3
MBNL2	MYC
MECOM	PAX8
MECOM	RUNX1
MECOM	SCMH1
MECOM	SMAD1
MECOM	SMAD3
MECOM	SMAD4
MECOM	SOX2
MECOM	SPDEF
MECOM	YY1
MECOM	ZBTB20
MECP2	MYC
MECP2	MYCN
MECP2	NKX2-1
MECP2	PPARG
MECP2	PURA
MECP2	RBAK
MECP2	RBPJ
MECP2	REST
MECP2	SKI
MECP2	SKIL
MECP2	SOX2
MECP2	SP1
MECP2	SP100
MECP2	SP3
MECP2	SPI1
MECP2	TEAD2
MECP2	TERF2
MECP2	TET1
MECP2	TP53
MECP2	YBX1
MECP2	YY1
MECP2	ZBTB2
MECP2	ZFHX3
MECP2	ZNF263
MECP2	ZNF354A
MECP2	ZNF483
MECP2	ZNF800
MECP2	ZNF804A
MEF2A	MEF2B
MEF2A	MEF2C
MEF2A	MEF2D
MEF2A	MYF5
MEF2A	MYF6
MEF2A	MYOD1
MEF2A	MYOG
MEF2A	NFATC1
MEF2A	NFATC2
MEF2A	NFATC3
