TF	SWI/SNF	Mediator	POLII	TFIIF	TFIID	BRD4	TFIIH	TFIIB	TFIIE
ZNF99	1	1	1	0	0	0	0	0	0
PBX3	1	1	0	0	0	0	0	0	0
ZNF503	1	1	0	0	1	0	0	0	0
ZNF516	0	1	0	0	1	0	0	0	0
ZNF608	0	1	0	0	0	0	0	0	0
ZNF687	0	1	1	0	1	1	0	0	0
SOX5	0	1	0	0	1	0	0	0	0
NFATC2	1	1	0	0	1	0	0	0	0
TGIF1	0	1	0	0	1	0	0	0	0
ZBTB45	0	1	0	0	1	0	0	0	0
RHOXF2	0	1	0	0	0	0	0	0	0
MEF2A	1	0	0	0	1	0	0	0	0
MEF2B	0	0	0	0	1	0	0	0	0
MGA	0	0	0	0	1	1	0	0	0
MKX	0	0	0	0	1	0	0	0	0
NKX3-1	0	0	1	0	0	0	1	0	0
MSANTD1	0	0	0	0	1	0	0	0	0
MSC	0	0	0	0	1	0	0	0	0
MTERF1	0	1	0	0	1	0	0	0	0
MXI1	0	0	0	0	1	0	0	0	0
MYOD1	1	0	1	0	1	1	0	0	0
MYOG	1	0	1	0	1	0	0	0	0
MYSM1	1	0	0	0	0	0	0	0	0
NEUROD1	1	0	0	0	0	0	0	0	0
NEUROG2	1	0	0	0	0	0	0	0	0
NFAT5	0	0	0	0	1	0	0	0	0
NFATC1	1	0	0	0	1	0	0	0	0
NFE2L2	1	0	0	0	1	0	0	0	0
NFIX	0	0	0	0	1	0	0	0	0
NFYA	0	0	0	0	1	1	0	0	0
NFYB	0	0	1	0	1	0	0	0	0
NKX2-1	1	0	0	0	0	0	0	0	0
NKX2-5	1	0	0	0	0	0	0	0	0
NR2F2	0	0	0	0	1	1	0	0	0
OLIG2	1	0	0	0	0	0	0	0	0
OTX1	1	0	0	0	0	0	0	0	0
PAX3	0	0	0	0	1	1	0	0	0
PAX5	1	0	0	0	1	0	0	0	0
RFX2	1	0	0	0	1	0	0	0	0
ZNF366	1	0	0	0	0	0	0	0	0
ZNF512B	1	0	0	0	0	0	0	0	0
ZNF710	1	0	0	0	0	0	0	0	0
PBX4	0	0	1	0	0	0	0	0	0
PHF1	0	0	1	0	0	0	0	0	0
SETDB1	1	0	0	0	1	0	0	0	0
PHF20	1	0	0	0	1	0	0	0	0
PHF21A	0	0	1	0	1	0	1	0	0
RFX5	0	0	1	0	1	0	0	0	0
SAFB	0	0	1	0	1	1	0	0	0
SMYD3	0	0	1	0	0	1	0	0	0
TFEB	0	0	1	0	1	0	0	0	0
XBP1	1	0	1	0	1	0	1	0	0
ZNF74	0	0	1	0	0	0	0	0	0
ZNF800	0	0	1	0	1	1	0	0	0
TET3	0	0	1	0	0	0	0	0	0
SATB1	0	0	1	0	0	0	0	0	0
THAP1	0	0	1	0	0	0	0	0	0
ZBTB14	0	0	1	0	0	0	0	0	0
POU3F2	0	0	0	0	1	0	0	0	0
POU4F2	0	0	0	0	1	0	0	0	0
PRMT3	0	0	0	0	1	0	0	0	0
PRRX2	1	0	0	0	1	0	0	0	0
RBSN	0	0	0	0	1	0	0	0	0
REST	1	1	1	0	1	0	0	0	0
SAFB2	0	0	0	0	1	1	0	0	0
SIX1	1	0	0	0	0	0	0	0	0
TMF1	1	0	0	0	1	0	0	0	0
SOX17	1	0	0	0	0	0	0	0	0
STAT5A	1	0	0	0	0	0	0	0	0
TBX21	1	0	0	0	0	0	0	0	0
TBX5	1	0	1	0	0	0	0	0	0
TET2	1	1	0	0	0	0	1	0	0
ZEB1	1	0	0	0	1	1	0	0	0
TEAD4	1	0	0	0	0	1	0	0	0
ZNF627	1	0	0	0	0	0	0	0	0
TOPORS	1	0	0	0	0	0	0	0	0
SNAI2	1	0	0	0	0	0	0	0	0
TBX1	1	0	0	0	0	0	0	0	0
TFE3	1	1	0	0	0	0	0	0	0
SOX11	1	0	0	0	1	0	0	0	0
SOX4	1	0	0	0	1	0	0	0	0
SP2	0	0	0	0	1	0	0	0	0
SP3	0	0	0	0	1	0	0	0	0
SP4	0	0	0	0	1	0	0	0	0
SP8	0	0	0	0	1	0	0	0	0
SPI1	0	0	0	0	1	1	0	0	0
SPIB	0	0	0	0	1	0	0	0	0
TBX2	0	0	0	0	1	0	0	0	0
TCF12	0	0	0	0	1	0	0	0	0
TEAD1	0	0	0	0	1	1	0	0	0
TEAD2	0	0	0	0	1	0	0	0	0
TET1	0	0	0	0	1	0	0	0	0
THAP8	0	0	0	0	1	0	0	0	0
TSC22D1	0	0	0	0	1	0	0	0	0
TSHZ1	1	0	0	0	1	0	0	0	0
WIZ	0	0	0	0	1	0	0	0	0
ZBED5	0	0	0	0	1	0	0	0	0
ZBTB17	0	0	0	0	1	0	0	0	0
ZBTB48	1	0	0	0	1	0	0	0	0
ZFHX3	0	0	0	0	1	0	0	0	0
ZIK1	0	0	0	0	1	0	0	0	0
ZKSCAN2	1	0	0	0	1	0	0	0	0
ZKSCAN5	0	0	0	0	1	0	0	0	0
ZKSCAN8	0	0	0	0	1	0	0	0	0
ZNF112	0	0	0	0	1	0	0	0	0
ZNF134	0	0	0	0	1	0	0	0	0
ZNF136	0	0	0	0	1	0	0	0	0
ZNF142	0	0	0	0	1	0	0	0	0
ZNF146	0	0	0	0	1	0	0	0	0
ZNF174	0	0	0	0	1	0	0	0	0
ZNF181	0	0	0	0	1	0	0	0	0
ZNF189	0	0	0	0	1	0	0	0	0
ZNF19	0	0	0	0	1	0	0	0	0
ZNF200	0	0	0	0	1	0	0	0	0
ZNF207	1	0	0	0	1	0	0	0	0
ZNF213	0	0	0	0	1	0	0	0	0
ZNF215	0	0	0	0	1	0	0	0	0
ZNF22	0	0	0	0	1	0	0	0	0
ZNF222	0	0	0	0	1	0	0	0	0
ZNF223	0	0	0	0	1	0	0	0	0
ZNF224	0	0	0	0	1	0	0	0	0
ZNF229	0	0	0	0	1	0	0	0	0
ZNF24	0	0	0	0	1	0	0	0	0
ZNF248	0	0	0	0	1	0	0	0	0
ZNF260	0	0	0	0	1	0	0	0	0
ZNF263	0	0	0	0	1	0	0	0	0
ZNF266	0	0	0	0	1	0	0	0	0
ZNF274	0	0	0	0	1	0	0	0	0
ZNF302	0	0	0	0	1	0	0	0	0
ZNF304	0	0	0	0	1	0	0	0	0
ZNF329	0	0	0	0	1	0	0	0	0
ZNF345	0	0	0	0	1	0	0	0	0
ZNF346	0	0	0	0	1	0	0	0	0
ZNF35	0	0	0	0	1	0	0	0	0
ZNF397	0	0	0	0	1	0	0	0	0
ZNF410	0	0	0	0	1	0	0	0	0
ZNF414	0	0	0	0	1	0	0	0	0
ZNF417	0	0	0	0	1	0	0	0	0
ZNF438	0	0	0	0	1	0	0	0	0
ZNF48	0	0	0	0	1	0	0	0	0
ZNF485	1	0	0	0	1	0	0	0	0
ZNF500	0	0	0	0	1	0	0	0	0
ZNF507	0	0	0	0	1	0	0	0	0
ZNF512	0	1	0	0	1	1	0	0	0
ZNF513	0	0	0	0	1	0	0	0	0
ZNF521	0	0	0	0	1	0	0	0	0
ZNF532	0	0	0	0	1	1	0	0	0
ZNF544	0	0	0	0	1	0	0	0	0
ZNF546	0	0	0	0	1	0	0	0	0
ZNF550	0	0	0	0	1	0	0	0	0
ZNF551	0	0	0	0	1	0	0	0	0
ZNF566	0	0	0	0	1	0	0	0	0
ZNF573	0	0	0	0	1	0	0	0	0
ZNF576	0	0	0	0	1	0	0	0	0
ZNF577	0	0	0	0	1	0	0	0	0
ZNF597	0	0	0	0	1	0	0	0	0
ZNF615	0	0	0	0	1	0	0	0	0
ZNF629	1	0	0	0	1	0	0	0	0
ZNF668	0	0	0	1	1	0	0	0	0
ZNF688	1	0	0	0	1	0	0	0	0
ZNF691	0	0	0	0	1	0	0	0	0
ZNF701	0	0	0	0	1	0	0	0	0
ZNF747	0	0	0	0	1	0	1	0	0
ZNF76	0	0	0	0	1	0	0	0	0
ZNF765	0	0	0	0	1	0	0	0	0
ZNF773	0	0	0	0	1	0	0	0	0
ZNF776	0	0	0	0	1	0	0	0	0
ZNF780A	0	0	0	0	1	0	0	0	0
ZNF785	0	0	0	0	1	0	0	0	0
ZNF844	0	0	0	0	1	0	0	0	0
ZNF85	0	0	0	0	1	0	0	0	0
ZNF880	0	0	0	0	1	0	0	0	0
ZSCAN2	0	0	0	0	1	0	0	0	0
ZZZ3	1	0	0	0	1	0	0	0	0
TERF2	1	0	0	0	1	0	0	0	0
USF1	1	1	0	0	1	0	0	0	0
FOXO3	0	0	0	0	0	1	0	0	0
SOX10	1	1	0	0	0	0	0	0	0
CREB3L3	0	0	0	0	1	0	0	0	0
USF2	0	1	0	0	1	0	0	0	0
CREB5	0	0	0	0	1	0	0	0	0
CREB3L2	0	0	0	0	1	0	0	0	0
CREB3L4	0	0	0	0	1	0	0	0	0
CREB3L1	0	0	0	0	1	0	0	0	0
IRF7	0	1	0	0	0	0	0	0	0
MYCN	1	1	1	0	1	1	0	0	0
FOXM1	1	0	0	0	0	0	0	0	0
TCF7L1	1	0	0	0	1	0	0	0	0
FOXD3	1	0	0	0	0	0	0	0	0
REPIN1	1	0	0	0	0	0	0	0	0
SNAI1	1	0	0	0	0	1	0	0	0
KAT7	1	1	0	0	1	1	0	0	0
AEBP2	1	0	0	0	0	0	0	0	0
BCL6B	1	0	0	0	0	0	0	0	0
TCF7	1	0	0	0	0	0	0	0	0
MEF2C	1	0	0	0	0	0	0	0	0
STAT5B	1	0	0	0	0	0	0	0	0
GATAD2A	0	0	0	0	0	1	0	0	0
HMGN3	0	0	0	0	0	1	0	0	0
GATAD2B	0	0	0	0	0	1	0	0	0
FOXK1	0	0	1	0	1	1	0	0	0
CCDC17	0	1	1	1	0	0	1	1	1
PROX1	1	0	0	0	0	1	0	0	0
SP110	0	0	1	0	1	1	0	0	0
ZNF740	0	0	0	0	0	1	0	0	0
ZIC2	1	0	0	0	1	0	0	0	0
GTF2IRD2B	0	0	1	0	0	0	0	0	0
ZNF148	1	0	0	0	0	0	0	0	0
KDM2B	1	0	0	0	0	0	0	0	0
EN1	0	0	0	0	0	1	0	0	0
GRHL3	1	0	0	0	0	0	0	0	0
ARID5A	1	0	0	0	0	0	0	0	0
ARID3C	1	0	0	0	0	0	0	0	0
ARID3B	1	0	0	0	0	1	0	0	0
HOXB13	1	0	0	0	0	0	0	0	0
CLOCK	0	0	0	0	1	0	0	0	0
TSHZ3	1	0	0	0	0	0	0	0	0
SIX5	0	0	0	0	1	0	1	0	0
ZBTB33	0	0	0	0	1	0	0	0	0
TFDP3	0	0	0	0	1	0	1	0	0
ASH1L	1	0	0	0	0	1	0	0	0
TSHZ2	1	0	0	0	0	0	0	0	0
ZHX1	0	1	0	0	0	0	0	0	0
ZNF763	1	0	0	0	0	0	0	0	0
ZNF501	1	0	0	0	0	0	0	0	0
ZNF589	0	0	1	0	0	0	0	0	0
SATB2	0	0	1	0	0	0	0	0	0
ZNF232	0	0	0	0	0	0	1	0	0
ZBED1	0	0	0	0	0	0	1	0	0
TFAP2C	0	0	0	0	0	1	0	0	0
FLI1	1	0	0	0	0	0	0	0	0
DDIT3	1	0	0	0	0	0	0	0	0
ZBTB10	0	0	0	0	0	0	1	0	0
ATF1	0	0	1	0	0	1	0	0	0
SON	1	0	0	0	0	1	0	0	0
ZFX	0	0	0	0	0	1	0	0	0
TBR1	0	0	0	0	0	1	0	0	0
ZFP91	0	0	0	0	0	1	0	0	0
TCF20	0	0	0	0	0	1	0	0	0
HIC2	0	0	0	0	0	1	0	0	0
ZNF451	0	0	0	0	0	1	0	0	0
ZBTB21	0	0	0	0	0	1	0	0	0
RUNX3	0	0	0	0	0	1	0	0	0
FOSL1	0	0	0	0	0	1	0	0	0
CENPB	0	0	0	0	0	1	0	0	0
SCMH1	0	0	0	0	0	1	0	0	0
TRPS1	0	0	0	0	0	1	0	0	0
NFIB	0	0	0	0	0	1	0	0	0
ZNF711	0	0	0	0	0	1	0	0	0
ZBTB11	0	0	0	0	0	1	0	0	0
TFAP2A	0	0	0	0	0	1	0	0	0
ZHX3	0	0	0	0	0	1	0	0	0
NFIC	0	0	0	0	0	1	0	0	0
IRX2	0	0	0	0	0	1	0	0	0
MAFF	0	0	0	0	0	1	0	0	0
PCGF2	0	0	0	0	0	1	0	0	0
FOXC1	1	0	0	0	0	0	0	0	0
ZBTB7A	1	0	0	0	1	0	0	0	0
ZBTB2	1	0	0	0	0	0	0	0	0
IKZF3	1	0	0	0	0	0	0	0	0
LHX3	0	0	0	0	1	0	0	0	0
MYCL	1	0	0	0	1	0	0	0	0
ZNF335	0	1	0	0	0	0	0	0	0
SRY	0	0	0	0	1	0	0	0	0
MITF	1	0	0	0	0	0	0	0	0
ZFPM1	0	1	0	0	0	0	0	0	0
BHLHA15	1	0	0	0	0	0	0	0	0
PEG3	0	0	0	0	1	0	0	0	0
SOX8	1	1	0	0	0	0	0	0	0
THAP7	1	0	0	0	0	0	0	0	0
PHF19	0	0	0	1	0	0	0	0	0
FOXE3	1	0	0	0	0	0	0	0	0
ASCL1	0	0	0	0	0	1	0	0	0
EOMES	1	0	0	0	0	0	0	0	0
HIVEP3	0	1	0	0	0	0	0	0	0
SP7	1	0	0	0	0	0	0	0	0
ZNF695	1	0	0	0	0	0	0	0	0
ZNF384	0	1	0	0	0	0	0	0	0
HEY1	0	1	0	0	0	0	1	0	0
SLC2A4RG	0	1	0	0	0	0	0	0	0
RAG1	0	1	0	0	0	0	0	0	0
ZNF704	0	1	0	0	0	0	0	0	0
ZNF395	0	1	0	0	0	0	0	0	0
OTX2	1	0	0	1	0	0	0	0	0
MYBL2	0	1	0	0	0	0	0	0	0
MTERF3	0	1	0	0	0	0	0	0	0
MYBL1	0	1	0	0	0	0	0	0	0
MTERF2	0	1	0	0	0	0	0	0	0
NEUROG3	1	0	0	0	0	0	0	0	0
L3MBTL1	1	0	0	0	0	0	0	0	0
FOXJ1	0	0	0	0	1	0	0	0	0
SOX7	1	0	0	0	0	0	0	0	0
FEV	0	0	0	0	1	0	0	0	0
ZNF787	1	0	0	0	0	0	0	0	0
ZNF385C	1	0	0	0	0	0	0	0	0
E2F2	0	0	0	0	1	1	0	0	0
SOX3	1	0	0	0	0	0	0	0	0
ZNF396	1	0	0	0	0	0	0	0	0
VAX2	1	0	0	0	0	0	0	0	0
BATF3	1	0	0	0	0	0	0	0	0
KLF15	0	1	0	0	0	0	0	0	0
FEZF2	0	0	0	0	1	0	0	0	0
SP100	0	0	0	0	1	0	0	0	0
ZNF100	0	0	1	0	0	0	0	0	0
LBX1	1	0	0	0	0	0	0	0	0
ZNF362	0	0	0	0	1	0	0	0	0
ELK4	1	0	0	0	0	0	0	0	0
THAP4	1	0	0	0	0	0	0	0	0
STAT6	0	0	0	0	1	0	0	0	0
LCOR	1	0	0	0	0	0	0	0	0
