TF	SWI/SNF	Mediator	POLII	TFIIF	TFIID	BRD4	TFIIH	TFIIB	TFIIE
ZNF235	1	1	1	0	1	0	0	0	0
ZNF25	1	1	1	0	1	0	0	0	0
ZNF250	1	1	1	0	0	0	0	0	0
ZNF251	1	1	1	0	0	0	0	0	0
ZNF256	1	1	1	0	1	0	0	0	0
ZNF257	1	1	1	0	0	0	0	0	0
ZNF264	1	1	1	0	1	0	0	0	0
ZNF267	1	1	1	0	1	0	0	0	0
ZNF268	1	1	1	0	0	0	0	0	0
ZNF273	1	1	1	0	0	0	0	0	0
ZNF275	0	1	1	0	0	0	0	0	0
ZNF283	1	1	1	0	0	0	0	0	0
ZNF284	1	1	1	0	0	0	0	0	0
ZNF30	1	1	1	0	0	0	0	0	0
ZNF311	1	1	1	0	0	0	0	0	0
ZNF317	1	1	1	0	1	0	0	0	0
ZNF324	1	1	1	0	0	0	0	0	0
ZNF324B	1	1	1	0	0	0	0	0	0
ZNF331	1	1	1	0	0	0	0	0	0
ZNF337	1	1	1	0	0	0	0	0	0
ZNF33A	1	1	1	0	1	0	0	0	0
ZNF33B	1	1	1	0	1	0	0	0	0
ZNF34	1	1	1	0	0	0	0	0	0
ZNF347	1	1	1	0	1	0	0	0	0
ZNF350	1	1	1	0	0	0	0	0	0
ZNF354B	1	1	1	0	0	0	0	0	0
ZNF354C	1	1	1	0	0	0	0	0	0
ZNF37A	1	1	1	0	1	0	0	0	0
ZNF382	1	1	1	0	0	0	0	0	0
ZNF383	1	1	1	0	1	0	0	0	0
ZNF404	1	1	1	0	0	0	0	0	0
ZNF416	1	1	1	0	0	0	0	0	0
ZNF420	1	1	1	0	0	0	0	0	0
ZNF425	1	1	1	0	0	0	0	0	0
ZNF426	1	1	1	0	1	0	0	0	0
ZNF429	1	1	1	0	0	0	0	0	0
ZNF431	1	1	1	0	0	0	0	0	0
ZNF432	1	1	1	0	1	0	0	0	0
ZNF433	1	1	1	0	0	0	0	0	0
ZNF436	1	1	1	0	0	0	0	0	0
ZNF439	1	1	1	0	0	0	0	0	0
ZNF44	1	1	1	0	1	0	0	0	0
ZNF440	1	1	1	0	0	0	0	0	0
ZNF442	1	1	1	0	0	0	0	0	0
ZNF45	1	1	1	0	0	0	0	0	0
ZNF454	1	1	1	0	0	0	0	0	0
ZNF460	1	1	1	0	1	0	0	0	0
ZNF461	1	1	1	0	1	0	0	0	0
ZNF468	1	1	1	0	0	0	0	0	0
ZNF470	1	1	1	0	0	0	0	0	0
ZNF471	1	1	1	0	0	0	0	0	0
ZNF473	1	1	1	0	0	0	0	0	0
ZNF480	1	1	1	0	1	0	0	0	0
ZNF484	1	1	1	0	0	0	0	0	0
ZNF490	1	1	1	0	1	0	0	0	0
ZNF492	1	1	1	0	0	0	0	0	0
ZNF506	1	1	1	0	0	0	0	0	0
ZNF510	1	1	1	0	0	0	0	0	0
ZNF514	1	1	1	0	0	0	0	0	0
ZNF517	1	1	1	0	0	0	0	0	0
ZNF527	1	1	1	0	0	0	0	0	0
ZNF528	1	1	1	0	1	0	0	0	0
ZNF529	1	1	1	0	1	0	0	0	0
ZNF530	1	1	1	0	0	0	0	0	0
ZNF534	1	1	1	0	0	0	0	0	0
ZNF543	1	1	1	0	0	0	0	0	0
ZNF548	1	1	1	0	1	0	0	0	0
ZNF549	1	1	1	0	0	0	0	0	0
ZNF554	1	1	1	0	0	0	0	0	0
ZNF555	1	1	1	0	0	0	0	0	0
ZNF557	1	1	1	0	1	0	0	0	0
ZNF558	1	1	1	0	0	0	0	0	0
ZNF560	1	1	1	0	0	0	0	0	0
ZNF562	1	1	1	0	1	0	0	0	0
ZNF563	1	1	1	0	0	0	0	0	0
ZNF564	1	1	1	0	0	0	0	0	0
ZNF565	1	1	1	0	1	0	0	0	0
ZNF567	1	1	1	0	0	0	0	0	0
ZNF568	1	1	1	0	0	0	0	0	0
ZNF569	1	1	1	0	1	0	0	0	0
ZNF57	1	1	1	0	0	0	0	0	0
ZNF571	1	1	1	0	0	0	0	0	0
ZNF583	1	1	1	0	0	0	0	0	0
ZNF584	1	1	1	0	1	0	0	0	0
ZNF585A	1	1	1	0	1	0	0	0	0
ZNF587	1	1	1	0	1	0	0	0	0
